"Item_Number","Set_Name","Year","Theme","Ages","Pieces","Unique_Pieces","Price","Amazon_Price","Pages","Minifigures","Packaging","Weight","Size","Availability"
41602,"Rey",2018,"Star Wars","10+",119,50,9.99,20.5,36,0,"Box",NA,"Small","Retail"
76137,"Batman vs. The Riddler Robbery",2019,"Batman","4+",59,44,9.99,20.92,36,2,"Box",NA,"Small","Retail"
10403,"World Fun",2018,"Classic","5-99",295,149,19.99,20.99,53,2,"Box",NA,"Small","Retail"
10904,"Baby Animals",2019,"DUPLO","2+",9,9,9.99,21.11,8,0,"Box",NA,"Large","Retail"
60185,"Mining Power Splitter",2018,"City","5-12",127,85,19.99,21.23,60,1,"Box",260,"Small","Retail"
10768,"Buzz and Bo Peep's Playground Adventure",2019,"Disney","4+",139,85,24.99,21.47,48,3,"Box",NA,"Small","Retail"
75970,"Tracer vs. Widowmaker",2019,"Overwatch","8+",129,74,14.99,21.57,48,2,"Box",190,"Small","Retail"
70684,"Spinjitzu Slam - Kai vs. Samurai",2019,"NINJAGO","8+",164,67,19.99,21.87,76,2,"Box",NA,"Small","Retail"
76101,"Outrider Dropship Attack",2018,"Marvel","6-12",124,63,14.99,21.95,52,3,"Box",180,"Small","Retail"
75535,"Han Solo",2018,"Star Wars","8-14",101,55,24.99,21.96,44,0,"Box",NA,"Small","Retail"
31091,"Shuttle Transporter",2019,"Creator 3-in-1","7+",341,122,24.99,21.97,268,0,"Box",510,"Small","Retail"
10915,"Alphabet Truck",2020,"DUPLO","1½+",36,35,24.99,21.99,1,2,"Box",NA,"Large","Retail"
10872,"Train Bridge and Tracks",2018,"DUPLO","2-5",26,10,24.99,21.99,16,1,"Box",880,"Large","Retail"
60184,"Mining Team",2018,"City","5-12",82,64,9.99,21.99,32,4,"Box",130,"Small","Retail"
41155,"Elsa's Market Adventure",2018,"Disney","5-12",125,78,19.99,21.99,48,2,"Box",220,"Small","Retail"
60207,"Drone Chase",2019,"City","5+",192,112,29.99,21.99,100,3,"Box",350,"Small","Retail"
70646,"Jay - Dragon Master",2018,"NINJAGO","8-14",92,53,14.99,22,48,1,"Box",NA,"Small","Retail"
10871,"Airport",2018,"DUPLO","2-5",29,24,24.99,22.49,20,3,"Box",660,"Large",NA
21149,"Minecraft Alex BigFig with Chicken",2019,"Minecraft","7+",160,70,14.99,22.5,40,0,"Box",170,"Small","Retail"
42088,"Cherry Picker",2019,"Technic","7+",155,51,9.99,22.75,40,0,NA,160,"Small",NA
76128,"Molten Man Battle",2019,"Spider-Man","7+",294,117,29.99,22.79,76,3,"Box",NA,"Small","Retail"
76133,"Spider-Man Car Chase",2019,"Marvel","4+",52,38,9.99,22.88,36,2,"Box",160,"Small","Retail"
76093,"Mighty Micros: Nightwing vs. The Joker",2018,NA,"5-12",84,53,9.99,22.95,7,2,"Box",NA,NA,"Retail"
70418,"J.B.'s Ghost Lab",2019,"Hidden Side","7+",174,104,19.99,22.98,64,3,"Box",NA,"Small","Retail"
75239,"Hoth Generator Attack",2019,"Star Wars","7+",235,101,29.99,22.99,68,2,"Box",NA,"Small","Retail"
41603,"Kylo Ren",2018,"Star Wars","10+",130,50,9.99,23.15,40,0,"Box",NA,"Small","Retail"
60240,"Kayak Adventure",2019,"City","5+",84,48,9.99,23.22,36,1,"Box",150,"Small","Retail - limited"
10908,"Plane",2019,"DUPLO","2+",12,11,9.99,23.27,10,1,"Box",NA,"Large","Retail"
60177,"Airshow Jet",2018,"City","5-12",87,53,9.99,23.29,56,1,"Box",NA,"Small","Retail"
75224,"Sith Infiltrator Microfighter",2019,"Star Wars","6+",92,45,9.99,23.4,40,1,"Box",100,"Small","Retail"
41606,"Star-Lord",2018,"BrickHeadz","10+",113,51,9.99,23.79,40,0,"Box",NA,"Small","Retail"
60213,"Dock Side Fire",2019,"City","5+",97,63,19.99,23.83,48,2,"Box",250,"Small","Retail"
70420,"Graveyard Mystery",2019,"Hidden Side","7+",335,160,29.99,23.97,112,4,"Box",NA,"Small","Retail"
60248,"Fire Helicopter Response",2020,"City","5+",93,61,29.99,23.98,44,3,"Box",250,"Small","Retail"
75946,"Hungarian Horntail Triwizard Challenge",2019,"Harry Potter","8+",265,101,29.99,23.99,52,4,"Box",NA,"Small","Retail"
41166,"Elsa and the Reindeer Carriage",2019,"LEGO Frozen 2","4+",116,78,29.99,23.99,72,1,"Box",NA,"Small","Retail"
60256,"Racing Cars",2020,"City","5+",190,101,29.99,23.99,84,2,"Box",340,"Small","Retail"
70827,"Ultrakatty & Warrior Lucy!",2019,"THE LEGO MOVIE 2","8+",348,119,29.99,23.99,92,2,"Box",410,"Small","Retail"
41253,"Lonesome Flats Raft Adventure",2020,"Trolls World Tour","4+",159,110,29.99,23.99,100,3,"Box",NA,"Small","Retail"
43178,"Cinderella's Castle Celebration",2020,"Disney","4+",168,96,29.99,23.99,100,1,"Box",NA,"Small","Retail"
70419,"Wrecked Shrimp Boat",2019,"Hidden Side","7+",310,150,29.99,23.99,108,4,"Box",NA,"Small","Retail"
71709,"Jay and Lloyd's Velocity Racers",2020,"NINJAGO","7+",322,142,29.99,23.99,148,3,"Box",NA,"Small","Retail"
41337,"Underwater Loop",2019,"Friends","7+",389,165,29.99,24,76,2,"Box",NA,"Small","Retail"
60231,"Fire Chief Response Truck",2019,"City","5+",201,98,29.99,24,84,2,"Box",380,"Small","Retail"
11004,"Windows of Creativity",2019,"Classic","4+",450,153,29.99,24,85,0,"Box",NA,"Small","Retail"
60225,"Rover Testing Drive",2019,"City","5+",202,98,29.99,24,96,2,"Box",360,"Small","Retail"
70673,"Shuricopter",2019,"NINJAGO","8+",361,163,29.99,24,100,3,"Box",NA,"Small","Retail"
21154,"The Blaze Bridge",2019,"Minecraft","8+",372,127,29.99,24,108,3,"Box",NA,"Small","Retail"
75893,"2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T",2019,"Speed Champions","7+",478,159,29.99,24,124,3,"Box",540,"Small","Retail"
75971,"Hanzo vs. Genji",2019,"Overwatch","8+",197,84,19.99,24.45,60,3,"Box",300,"Small","Retail"
75248,"Resistance A-wing Starfighter",2019,"Star Wars","7+",269,112,29.99,24.47,84,2,"Box",NA,"Small","Retail"
10749,"Mia's Organic Food Market",2018,"Friends","4-7",115,70,19.99,24.49,56,1,"Box",NA,"Small","Retail"
41252,"Poppy's Air Balloon Adventure",2020,"Trolls World Tour","6+",250,121,29.99,24.86,68,3,"Box",NA,"Small","Retail"
41913,"Bracelet Mega Pack",2020,"DOTS","6+",300,39,24.99,24.95,2,0,NA,NA,"Small","Retail"
75194,"First Order TIE Fighter Microfighter",2018,"Star Wars","6-12",91,47,9.99,24.95,40,1,"Box",110,"Small","Retail"
70634,"Nya - Spinjitzu Master",2018,"NINJAGO","6-14",69,43,9.99,24.98,32,1,"Box",NA,"Small","Retail"
10756,"Pteranodon Escape",2018,"Juniors","4-7",84,60,19.99,25.99,56,2,"Box",270,"Small","Retail"
21159,"The Pillager Outpost",2020,"Minecraft","8+",303,94,29.99,25.99,68,3,"Box",NA,"Small","Retail"
76149,"The Menace of Mysterio",2020,"Marvel","4+",163,97,29.99,25.99,128,3,"Box",NA,"Small","Retail"
21150,"Minecraft Skeleton BigFig with Magma Cube",2019,"Minecraft","7+",142,56,14.99,26.25,40,0,"Box",170,"Small","Retail"
60180,"Monster Truck",2018,"City","6-12",192,76,19.99,26.48,76,1,"Box",380,"Small","Retail"
10913,"Brick Box",2020,"DUPLO","1½+",65,46,29.99,26.79,20,2,"Tag",NA,"Large","Retail"
60242,"Police Highway Arrest",2020,"City","5+",185,98,29.99,26.98,108,2,"Box",330,"Small","Retail"
10863,"My First Animal Brick Box",2018,"DUPLO","1½-3",34,29,29.99,26.99,9,0,"Plastic box",NA,"Large",NA
10921,"Super Heroes Lab",2020,"DUPLO","2+",30,23,29.99,26.99,16,3,"Box",NA,"Large","Retail"
71708,"Gamer's Market",2020,"NINJAGO","7+",218,133,29.99,26.99,64,9,"Box",NA,"Small","Retail"
41392,"Nature Glamping",2020,"Friends","6+",241,110,29.99,26.99,72,2,"Box",NA,"Small","Retail"
71713,"Empire Dragon",2020,"NINJAGO","8+",286,118,29.99,26.99,80,3,"Box",NA,"Small","Retail"
41366,"Olivia's Cupcake Cafe",2019,"Friends","6+",335,185,29.99,26.99,100,2,NA,560,"Small",NA
60254,"Race Boat Transporter",2020,"City","5+",238,123,29.99,26.99,124,2,"Box",560,"Small","Retail"
60176,"Wild River Escape",2018,"City","5-12",126,71,19.99,27,56,2,"Box",230,"Small","Retail"
41348,"Service & Care Truck",2018,"Friends","6-12",247,123,19.99,27.07,84,1,"Box",350,"Small","Retail"
76124,"War Machine Buster",2019,"Marvel","7+",362,122,34.99,27.79,64,4,"Box",NA,"Small","Retail"
70421,"El Fuego's Stunt Truck",2019,"Hidden Side","8+",428,198,39.99,27.85,156,4,"Box",NA,"Small","Retail"
75214,"Anakin's Jedi Starfighter",2018,"Star Wars","7-12",247,111,19.99,27.95,84,2,"Box",420,"Small","Retail"
70666,"The Golden Dragon",2019,"NINJAGO","7+",171,74,19.99,27.98,60,3,"Box",240,"Small","Retail"
75198,"Tatooine Battle Pack",2018,"Star Wars","6-12",97,53,14.99,27.99,36,4,"Box",NA,"Small","Retail"
75270,"Obi-Wan's Hut",2020,"Star Wars","7+",200,118,29.99,27.99,68,4,"Box",NA,"Small","Retail"
31073,"Mythical Creatures",2018,"Creator 3-in-1","7-12",223,66,14.99,28.4,189,0,"Box",300,"Small","Retail"
41359,"Heart Box Friendship Pack",2019,"Friends","6+",199,90,19.99,28.45,60,2,NA,310,"Small",NA
10769,"RV Vacation",2019,"Disney","4+",178,106,34.99,28.46,72,3,"Box",NA,"Small","Retail"
76091,"Mighty Micros: Thor vs. Loki",2018,"Marvel","5-12",79,47,9.99,28.49,7,2,"Box",NA,"Small","Retail"
75236,"Duel on Starkiller Base",2019,"Star Wars","6+",191,83,19.99,28.75,68,2,"Box",NA,"Small","Retail"
41328,"Stephanie's Bedroom",2018,"Friends","6-12",95,72,9.99,28.87,44,1,"Box",NA,"Small","Retail"
31094,"Race Plane",2019,"Creator 3-in-1","7+",333,134,29.99,28.99,200,1,"Box",640,"Small","Retail"
75238,"Action Battle Endor Assault",2019,"Star Wars","7+",193,108,29.99,29,64,2,"Box",NA,"Small","Retail"
75195,"Ski Speeder vs. First Order Walker Microfighters",2018,"Star Wars","6-12",216,94,19.99,29.2,92,2,"Box",NA,"Small","Retail"
75258,"Anakin's Podracer – 20th Anniversary Edition",2019,"Star Wars","7+",279,110,29.99,29.32,84,3,"Box",NA,"Small","Retail"
70660,"Spinjitzu Jay",2019,"NINJAGO","7+",97,23,9.99,29.44,32,1,"Box",130,"Small","Retail"
70662,"Spinjitzu Cole",2019,"NINJAGO","7+",117,26,9.99,29.5,32,1,"Box",140,"Small","Retail"
75934,"Dilophosaurus on the Loose",2019,"Jurassic World","6+",168,88,19.99,29.69,60,3,"Box",NA,"Small","Retail"
21148,"Minecraft Steve BigFig with Parrot",2019,"Minecraft","7+",159,74,14.99,29.9,40,0,"Box",170,"Small","Retail"
75271,"Luke Skywalker's Landspeeder",2020,"Star Wars","7+",236,104,29.99,29.93,72,3,"Box",NA,"Small",NA
70635,"Jay - Spinjitzu Master",2018,"NINJAGO","6-14",68,39,9.99,29.95,32,1,"Box",NA,"Small","Retail"
70663,"Spinjitzu Nya & Wu",2019,"NINJAGO","7+",227,49,19.99,29.95,56,2,"Box",230,"Small","Retail"
75950,"Aragog's Lair",2018,"Harry Potter","7-14",157,82,14.99,29.95,56,2,"Box",160,"Small","Retail"
75281,"Anakin's Jedi Interceptor",2020,"Star Wars","7+",248,100,29.99,29.95,68,2,"Box",NA,"Small","Retail"
75196,"A-Wing vs. TIE Silencer Microfighters",2018,"Star Wars","6-12",188,88,19.99,29.95,72,2,"Box",220,"Small","Retail"
75942,"Velociraptor: Biplane Rescue Mission",2020,"Jurassic World","4+",101,72,29.99,29.95,76,2,"Box",NA,"Small","Retail"
75967,"Forbidden Forest: Umbridge's Encounter",2020,"Harry Potter","8+",253,121,29.99,29.95,84,4,"Box",NA,"Small","Retail"
76150,"Spiderjet vs. Venom Mech",2020,"Marvel","7+",371,136,29.99,29.95,84,3,"Box",NA,"Small","Retail"
70429,"El Fuego's Stunt Plane",2020,"Hidden Side","7+",295,149,29.99,29.95,92,3,"Box",NA,"Small","Retail"
70430,"Newbury Subway",2020,"Hidden Side","8+",348,146,29.99,29.95,108,3,"Box",NA,"Small","Retail"
41427,"Emma's Fashion Shop",2020,"Friends","6+",343,152,29.99,29.95,112,2,"Box",NA,"Small","Retail"
41422,"Panda Jungle Tree House",2020,"Friends","7+",265,149,29.99,29.95,120,2,"Box",NA,"Small","Retail"
76898,"Formula E Panasonic Jaguar Racing GEN2 Car & Jaguar I-PACE eTROPHY",2020,"Speed Champions","8+",565,186,29.99,29.95,128,2,"Box",730,"Small","Retail"
71365,"Piranha Plant Power Slide",2020,"LEGO Super Mario","7+",217,78,29.99,29.95,NA,3,"Box",NA,"Small","Retail"
42073,"BASH!",2018,"Technic","7-14",139,46,19.99,29.98,127,0,"Box",300,"Small","Retail"
10928,"Bakery",2020,"DUPLO","2+",46,33,34.99,29.99,20,2,"Box",NA,"Large","Retail"
10902,"Police Station",2019,"DUPLO","2+",38,25,29.99,29.99,22,3,NA,710,"Large",NA
70633,"Kai - Spinjitzu Master",2018,"NINJAGO","6-14",61,33,9.99,29.99,32,1,"Box",NA,"Small","Retail"
75197,"First Order Specialists Battle Pack",2018,"Star Wars","6-12",108,48,14.99,29.99,36,3,"Box",NA,"Small","Retail"
75235,"X-wing Starfighter Trench Run",2019,"Star Wars","4+",132,65,29.99,29.99,64,3,"Box",360,"Small","Retail"
70434,"Supernatural Race Car",2020,"Hidden Side","7+",244,115,29.99,29.99,80,3,"Box",NA,"Small","Retail"
71366,"Boomer Bill Barrage",2020,"LEGO Super Mario","7+",132,70,29.99,29.99,NA,2,"Box",NA,"Small","Retail"
70659,"Spinjitzu Kai",2019,"NINJAGO","7+",97,23,9.99,30,32,1,"Box",130,"Small","Retail"
10715,"Bricks on a Roll",2018,NA,"NA",442,153,NA,30.34,99,0,"Box",NA,NA,"Retail"
10765,"Ariel's Underwater Concert",2018,"Juniors","4-7",92,55,14.99,30.48,40,1,"Box",NA,"Small",NA
10895,"Emmet and Lucy's Visitors from the DUPLO Planet",2019,"THE LEGO MOVIE 2","2+",53,37,29.99,30.72,25,2,"Box",800,"Small","Retail"
75885,"Ford Fiesta M-Sport WRC",2018,"Speed Champions","7-14",203,88,14.99,30.85,60,1,"Box",240,"Small","Retail"
60170,"Off-Road Chase",2018,"City","5-12",37,28,6.99,30.89,20,2,"Box",NA,"Small","Retail"
70825,"Queen Watevra's Build Whatever Box!",2019,"THE LEGO MOVIE 2","6+",455,112,39.99,30.95,262,0,"Box",840,"Small","Retail"
41376,"Turtles Rescue Mission",2019,"Friends","6+",225,125,19.99,31.27,72,2,"Box",NA,"Small","Retail"
60208,"Parachute Arrest",2019,"City","5+",218,139,39.99,31.46,120,4,"Box",480,"Small","Retail"
60235,"City Advent Calendar",2019,"City","5+",234,161,29.99,31.49,3,8,"Box",390,"Small","Retail"
75926,"Pteranodon Chase",2018,"Jurassic World","6-12",126,68,19.99,31.49,44,2,"Box",280,"Small","Retail"
41378,"Dolphins Rescue Mission",2019,"Friends","6+",363,192,39.99,31.67,116,2,"Box",NA,"Small","Retail"
76113,"Spider-Man Bike Rescue",2019,"Marvel","6+",235,98,19.99,31.85,92,3,"Box",340,"Small","Retail"
60234,"People Pack - Fun Fair",2019,"City","5+",183,138,39.99,31.99,64,14,"Box",280,"Small","Retail"
41168,"Elsa's Jewellery Box",2019,"LEGO Frozen 2","6+",300,89,39.99,31.99,96,1,"Box",NA,"Small","Retail"
71710,"Ninja Tuner Car",2020,"NINJAGO","8+",419,143,39.99,31.99,108,3,"Box",NA,"Small","Retail"
60226,"Mars Research Shuttle",2019,"City","5+",273,135,39.99,31.99,160,2,"Box",610,"Small","Retail"
75957,"The Knight Bus",2019,"Harry Potter","8+",403,128,39.99,32,84,3,"Box",NA,"Small","Retail"
70674,"Fire Fang",2019,"NINJAGO","8+",463,175,39.99,32,88,4,"Box",NA,"Small","Retail"
10861,"My First Emotions",2018,"DUPLO","1½-3",28,24,19.99,32.07,9,0,"Box",NA,"Large",NA
76110,"Batman: The Attack of the Talons",2018,"Batman","7-12",155,82,19.99,32.25,60,3,"Box",340,"Small","Retail"
10770,"Buzz & Woody's Carnival Mania!",2019,"Disney","4+",230,106,49.99,32.8,52,5,"Box",NA,"Small","Retail"
41254,"Volcano Rock City Concert",2020,"Trolls World Tour","6+",387,175,39.99,32.88,120,3,"Box",NA,"Small","Retail"
41364,"Stephanie's Buggy & Trailer ",2019,"Friends","6+",166,97,19.99,32.9,48,1,NA,290,"Small",NA
10750,"Road Repair Truck",2018,"Juniors","4-7",73,50,9.99,32.92,32,1,"Box",150,"Small","Retail"
41362,"Heartlake City Supermarket",2019,"Friends","4+",140,90,29.99,32.97,68,2,"Box",NA,"Small","Retail"
70638,"Katana V11",2018,"NINJAGO","7-14",257,111,19.99,32.98,84,2,"Box",320,"Small","Retail"
10759,"Elastigirl's Rooftop Pursuit",2018,"Juniors","4-7",95,77,19.99,33.2,64,2,"Box",NA,"Small","Retail"
42092,"Rescue Helicopter",2019,"Technic","8+",325,81,39.99,33.28,181,0,"Box",450,"Small","Retail"
10762,"Belle's Story Time",2018,"Juniors","4-7",87,66,14.99,33.5,44,2,"Box",NA,"Small","Retail"
41605,"Thanos",2018,"BrickHeadz","10+",105,37,9.99,33.75,32,0,"Box",NA,"Small","Retail"
10754,"Spider-Man vs. Scorpion Street Showdown",2018,"Marvel","4-7",125,82,19.99,33.8,64,2,"Box",340,"Small","Retail"
60201,"City Advent Calendar",2018,"City","5-12",313,194,29.99,33.99,4,6,"Box",430,"Small","Retail"
41353,"Friends Advent Calendar",2018,"Friends","6-12",500,202,29.99,34,4,0,"Box",NA,"Small","Retail"
60192,"Arctic Ice Crawler",2018,"City","6-12",200,80,24.99,34.25,92,1,"Box",340,"Small","Retail"
60214,"Burger Bar Fire Rescue",2019,"City","5+",327,153,39.99,34.43,164,3,"Box",610,"Small","Retail"
10858,"My First Puzzle Pets",2018,"DUPLO","1½-3",18,16,9.99,34.5,9,0,"Box",340,"Large",NA
75884,"1968 Ford Mustang Fastback",2018,"Speed Champions","7-14",183,74,14.99,34.69,60,1,"Box",220,"Small","Retail"
75225,"Elite Praetorian Guard Battle Pack",2019,"Star Wars","6+",109,52,14.99,34.75,40,4,"Box",120,"Small","Retail"
76157,"Wonder Woman vs. Cheetah",2020,"DC","8+",371,130,39.99,34.76,84,3,"Box",NA,"Small","Retail"
70668,"Jay's Storm Fighter",2019,"NINJAGO","9+",490,195,39.99,34.76,140,4,"Box",700,"Small","Retail"
41190,"Emily Jones & The Eagle Getaway",2018,NA,"7-12",149,87,14.99,34.92,60,2,"Box",NA,NA,"Retail"
60181,"Forest Tractor",2018,"City","5-12",174,77,19.99,34.94,64,1,"Box",380,"Small","Retail"
41371,"Mia's Horse Trailer",2019,"Friends","6+",216,119,29.99,34.95,76,2,"Box",NA,"Small","Retail"
41341,"Andrea's Bedroom",2018,"Friends","6-12",85,60,9.99,34.99,44,1,"Box",NA,"Small","Retail"
10751,"Mountain Police Chase",2018,"Juniors","4-7",115,85,19.99,34.99,64,2,"Box",330,"Small","Retail"
31076,"Daredevil Stunt Plane",2018,"Creator 3-in-1","7-12",200,86,19.99,35,120,1,"Box",NA,"Small","Retail"
31074,"Rocket Rally Car",2018,"Creator 3-in-1","7-12",241,104,19.99,35,148,0,"Box",440,"Small","Retail"
41454,"Dr. Fox Laboratory",2018,"Unikitty!","6-12",359,163,29.99,35.5,132,4,"Box",520,"Small","Retail"
60243,"Police Helicopter Chase",2020,"City","5+",212,127,39.99,35.98,128,4,"Box",520,"Small","Retail"
41367,"Stephanie's Obstacle Course",2019,"Friends","6+",337,168,39.99,35.99,100,2,NA,590,"Small",NA
41393,"Baking Competition",2020,"Friends","6+",361,157,39.99,35.99,104,3,"Box",NA,"Small","Retail"
71702,"Golden Mech",2020,"NINJAGO","8+",489,172,39.99,35.99,108,4,"Box",NA,"Small","Retail"
76116,"Batman Batsub and the Underwater Clash",2019,"Batman","7+",174,82,19.99,36,64,3,"Box",320,"Small","Retail"
76119,"Batmobile: Pursuit of The Joker",2019,"Batman","7+",342,114,29.99,36.23,80,2,"Box",NA,"Small","Retail"
41382,"Friends Advent Calendar",2019,"Friends","6+",330,158,29.99,36.49,2,3,"Box",NA,"Small","Retail"
41288,"Mojo Jojo Strikes",2018,"Powerpuff Girls","6-12",228,149,29.99,36.69,76,4,"Box",370,"Small","Retail"
10712,"Bricks and Gears",2018,"Classic","5-99",244,94,19.99,36.78,124,0,"Box",400,"Small","Retail"
21145,"The Skull Arena",2018,"Minecraft","7-14",198,68,19.99,36.81,68,2,"Box",420,"Small","Retail"
41327,"Mia's Bedroom",2018,"Friends","6-12",86,63,9.99,36.9,48,1,"Box",NA,"Small","Retail"
75209,"Han Solo's Landspeeder",2018,"Star Wars","7-12",345,126,29.99,36.9,96,2,"Box",420,"Small","Retail"
41609,"Chewbacca",2018,"Star Wars","10+",149,52,9.99,36.95,40,0,"Box",NA,"Small","Retail"
10867,"Farmers' Market",2018,"DUPLO","2-5",26,18,19.99,36.99,9,3,"Box",NA,"Large",NA
75226,"Inferno Squad Battle Pack",2019,"Star Wars","6+",118,52,14.99,36.99,40,4,"Box",120,"Small","Retail"
76134,"Spider-Man: Doc Ock Diamond Heist",2019,"Marvel","4+",150,98,29.99,36.99,96,3,"Box",530,"Small","Retail"
76111,"Batman: Brother Eye Takedown",2018,"Batman","6-12",269,103,29.99,37,76,3,"Box",460,"Small","Retail"
76118,"Mr. Freeze Batcycle Battle",2019,"Batman","6+",200,97,19.99,37.03,68,3,"Box",300,"Small","Retail"
31075,"Outback Adventures",2018,"Creator 3-in-1","7-12",225,103,19.99,37.15,148,1,"Box",390,"Small","Retail"
75206,"Jedi and Clone Troopers Battle Pack",2018,"Star Wars","6-12",102,54,14.99,37.5,32,3,"Box",130,"Small","Retail"
41159,"Cinderella's Carriage Ride",2019,"Disney","4+",91,58,NA,37.75,48,1,NA,240,"Small",NA
75886,"Ferrari 488 GT3 Scuderia Corsa",2018,"Speed Champions","7-14",179,78,14.99,37.88,56,1,"Box",220,"Small","Retail"
70918,"The Bat-Dune Buggy",2018,"DC","7-14",198,92,19.99,37.89,64,2,"Box",NA,"Small","Retail"
60179,"Ambulance Helicopter",2018,"City","5-12",190,108,19.99,37.95,84,3,"Box",410,"Small","Retail"
70820,"LEGO Movie Maker",2019,"THE LEGO MOVIE 2","8+",482,243,49.99,37.99,96,6,"Box",760,"Small","Retail"
41351,"Creative Tuning Shop",2018,"Friends","6-12",413,217,39.99,37.99,108,2,"Box",670,"Small","Retail"
75972,"Dorado Showdown",2019,"Overwatch","8+",419,168,29.99,37.99,124,3,"Box",600,"Small","Retail"
41620,"Stormtrooper",2018,"Star Wars","10+",124,51,9.99,38.75,32,0,"Box",NA,"Small","Retail"
70664,"Spinjitzu Lloyd vs. Garmadon",2019,"NINJAGO","7+",208,44,19.99,38.75,52,2,"Box",230,"Small","Retail"
70919,"The Justice League Anniversary Party",2018,NA,"7-14",267,110,29.99,38.95,72,4,"Box",NA,NA,"Retail"
42071,"Dozer Compactor",2018,"Technic","8-14",171,62,19.99,38.95,100,0,"Box",330,"Small","Retail"
75958,"Beauxbatons' Carriage: Arrival at Hogwarts ",2019,"Harry Potter","8+",430,160,49.99,38.99,84,4,"Box",NA,"Small","Retail"
75213,"Star Wars Advent Calendar",2018,"Star Wars","6-14",307,186,39.99,39.88,4,7,"Box",NA,"Small","Retail"
10862,"My First Celebration",2018,"DUPLO","1½-3",41,18,14.99,39.89,9,0,"Box",NA,"Large",NA
76099,"Rhino Face-Off by the Mine",2018,"Marvel","6-12",229,100,19.99,39.9,88,3,"Box",NA,"Small","Retail"
76164,"Iron Man Hulkbuster versus A.I.M. Agent",2020,"Marvel","8+",456,143,39.99,39.95,80,4,"Box",NA,"Small","Retail"
70920,"Egghead Mech Food Fight",2018,NA,"7-14",293,131,29.99,39.95,84,3,"Box",NA,NA,"Retail"
75977,"Junkrat & Roadhog",2019,"Overwatch","10+",380,168,49.99,39.95,92,2,"Box",NA,"Small","Retail"
41423,"Tiger Hot Air Balloon Jungle Rescue",2020,"Friends","7+",302,145,39.99,39.95,116,2,"Box",NA,"Small","Retail"
76143,"Avengers Truck Take-down",2020,"Marvel","7+",477,164,39.99,39.95,116,4,"Box",NA,"Small","Retail"
60264,"Ocean Exploration Submarine",2020,"City","5+",286,131,39.99,39.95,141,4,"Box",520,"Small","Retail"
31105,"Townhouse Toy Store",2020,"Creator 3-in-1","8+",554,194,39.99,39.95,268,2,"Box",880,"Small","Retail"
31107,"Space Rover Explorer",2020,"Creator 3-in-1","8+",510,206,39.99,39.95,276,1,"Box",NA,"Small","Retail"
31093,"Riverside Houseboat",2019,"Creator 3-in-1","7+",396,157,39.99,39.98,200,2,"Box",670,"Small","Retail"
41604,"Iron Man MK50",2018,"BrickHeadz","10+",101,41,9.99,39.99,32,0,"Box",NA,"Small","Retail"
75247,"Rebel A-wing Starfighter",2019,"Star Wars","4+",62,44,14.99,39.99,36,2,"Box",180,"Small","Retail"
41156,"Rapunzel's Castle Bedroom",2018,"Disney","5-12",156,93,19.99,39.99,56,1,"Box",NA,"Small","Retail"
10755,"Zane's Ninja Boat Pursuit",2018,"Juniors","4-7",131,78,19.99,39.99,64,2,"Box",NA,"Small","Retail"
41372,"Stephanie's Gymnastics Show",2019,"Friends","6+",241,114,29.99,39.99,76,2,"Box",NA,"Small","Retail"
21163,"The Redstone Battle",2020,"Minecraft","8+",504,133,39.99,39.99,88,4,"Box",NA,"Small","Retail"
11005,"Creative Fun",2019,"Classic","4+",900,231,39.99,39.99,90,0,"Box",NA,"Small",NA
42105,"Catamaran",2020,"Technic","8+",404,74,49.99,39.99,100,0,"Box",NA,"Small","Retail"
76115,"Spider Mech vs. Venom ",2019,"Marvel","8+",604,203,49.99,39.99,104,4,"Box",780,"Small","Retail"
75250,"Pasaana Speeder Chase",2019,"Star Wars","8+",373,177,39.99,39.99,116,4,"Box",NA,"Small","Retail"
41164,"Enchanted Tree House",2019,"LEGO Frozen 2","6+",302,174,49.99,39.99,120,3,"Box",NA,"Small","Retail"
41255,"Pop Village Celebration",2020,"Trolls World Tour","6+",380,205,49.99,39.99,120,5,"Box",NA,"Small","Retail"
70432,"Haunted Fairground",2020,"Hidden Side","8+",466,212,49.99,39.99,124,5,"Box",NA,"Small","Retail"
70422,"Shrimp Shack Attack",2019,"Hidden Side","8+",578,293,49.99,39.99,128,5,"Box",NA,"Small","Retail"
70435,"Newbury Abandoned Prison",2020,"Hidden Side","7+",400,164,39.99,39.99,132,4,"Box",NA,"Small","Retail"
71376,"Thwomp Drop",2020,"LEGO Super Mario","8+",393,159,39.99,39.99,NA,0,"Box",NA,"Small","Retail - limited"
75894,"1967 Mini Cooper S Rally and 2018 MINI John Cooper Works Buggy",2019,"Speed Champions","8+",481,187,49.99,40,64,4,"Box",700,"Small","Retail"
76096,"Superman & Krypto Team-Up",2018,"DC","6-12",199,110,19.99,40,76,2,"Box",NA,"Small","Retail"
75242,"Black Ace TIE Interceptor",2019,"Star Wars","8+",396,161,49.99,40,84,3,"Box",NA,"Small","Retail"
41374,"Andrea's Pool Party",2019,"Friends","6+",468,221,49.99,40,112,2,"Box",NA,"Small","Retail"
60232,"Garage Centre",2019,"City","4+",234,62,49.99,40,116,4,"Box",620,"Small","Retail"
